year,month,url,name,flavor_comment,country,location,producer,farm,washing_station,elevation,process,variety,latitude,longitude
2025,3,https://lightupcoffee.com/blogs/magazine/guama-kenya?_pos=1&_sid=0dcfc5e0f&_ss=r,Guama,明るいフルーツ感と透明度の高い甘さがケニアらしい コーヒー。ネーブルオレンジやベリーの果実感にシ ロップを思わせる甘さと質感が心地よい。余韻には カシスが香り、じんわりと消えていく。,Kenya,Kirinyaga,Baragwi Cooperative,,Guama Factory,1620m,Washed,"Sl28, Sl34, Batian",-0.5,37.33333
2025,1,https://lightupcoffee.com/blogs/magazine/guama-kenya?_pos=1&_sid=0dcfc5e0f&_ss=r,Guama,明るいフルーツ感と透明度の高い甘さがケニアらしい コーヒー。ネーブルオレンジやベリーの果実感にシ ロップを思わせる甘さと質感が心地よい。余韻には カシスが香り、じんわりと消えていく。,Kenya,Kirinyaga,Baragwi Cooperative,,Guama Factory,1620m,Washed,"Sl28, Sl34, Batian",-0.5,37.33333
2025,6,https://lightupcoffee.com/blogs/magazine/karimikui-kenya?_pos=1&_sid=5790099a4&_ss=r,Karimikui,明るく柔らかな果実感が心地よいコーヒー レッドカラントやアプリコットの果実感が穏 やかで、ブラウンシュガーの甘さが心地よい 余韻にはピーチティーがふんわりと香る。,Kenya,Kirinyaga,600 Smallholders,,Karimikui Factory,"1,600-1,800 m",Washed,"Sl-28, Sl-34, Batian, Ruiru 11",-0.5,37.33333
2025,12,https://lightupcoffee.com/blogs/magazine/gathaithi-kenya?_pos=1&_sid=f7a41f869&_ss=r,Gathaithi Kenya Gataitei Kenia Keniarashiihure-Ba-Tohou Minoarukou Dang Ta,ケニアらしいフレーバーと厚みのある口当たりが素晴らしいコーヒー。オレンジやアプリコットの果実感にチェリーが顔を出し、蜂蜜を思わせる甘さが余韻まで続く。,Kenya,Nyeri,1656 Smallholders,,Gathaithi Ws,"1,720 m",Washed,"Sl-28, Sl-34, Batian, Ruiru11",-0.42013,36.94759
2025,11,https://lightupcoffee.com/blogs/magazine/magarissa-refisa-ethiopia,Magarissa Refisa,表情の移ろいが丁寧なコーヒー。黄桃やリン ゴの果実感とキャンディーを思わせる甘さが 丸い口当たりで膨らむ。余韻には紅茶を思わ せる香りと蜂蜜の印象が緩やかに続く。,Ethiopia,"Nensebo, West Arsi",389 Smallholders,,Refisa Ws,"1,900-2,100 m",Washed,"Welisho, Kurume",6.48333,39.1
2025,1,https://lightupcoffee.com/blogs/magazine/shantawene-washed,Shantawene,フローラルさと心地よいスパイスの印象が調和 するコーヒー。ピーチやレモネードの甘さを伴 った果実感が艶やかな質感で膨らみ、余韻に はレモングラスが香る。,Ethiopia,"Bensa, Sidama",Smallholders,,Shantawene Ws,"1,900 2,100m",Washed,Heirloom,6.5,38.83333
2025,10,https://lightupcoffee.com/blogs/magazine/halata-ethiopia,Halata,白ブドウの果実感にアメリカンチェリーや白 桃が香る。クリーミーな質感やフローラルな 香りが奥行きを与え、立体感のある味わい。,Ethiopia,"Bensa, Sidama",Nigussie Gemeda Muge,,Halata Ds,"2,100 2,260 m",Natural,74110,6.5,38.83333
2025,10,https://lightupcoffee.com/blogs/magazine/las-perlitas-caturra-colombia,Las Perlitas,"複雑な香りと透明感が素晴らしいコーヒー。

白ブドウやオレンジの果実感にミックスベ リーが顔を出す。厚みのある口当たりでキャ ラメルの甘さが膨らみ、余韻まで続く。",Colombia,"Urrao, Antioquia",Smallholders,,,"1,600-2,000 m",Washed,Pink Bourbon,6.55687,-75.82806
2025,9,https://lightupcoffee.com/blogs/magazine/las-perlitas-caturra-colombia,Las Perlitas,オレンジのコンポートや黄桃の甘さを伴った 果実感がシロップを思わせる口当たりで膨 らみ、紅茶の香りが鼻に抜ける。余韻には キャラメルの甘さがじんわりと続く。,Colombia,"Urrao, Antioquia",Smallholders,,,"1,600-2,000 m",Washed,"Red Caturra, Orange Caturra",6.55687,-75.82806
2025,5,https://lightupcoffee.com/blogs/magazine/kelloo-danche-ethiopia?_pos=1&_sid=28600c46d&_ss=r,Kelloo Danche,桃やアプリコットの甘さを伴う果実感や、 マーマレードの印象が艶やかな口当たりで 広がる。余韻にはレモンティーの甘さと白 い花の香りが長く続いていく。,Ethiopia,"Gedeo, Gedeb",400 Smallholders,,Danche Ws,"2,000 2,300m",Washed,Heirloom,9.5725,43.18139
2025,2,https://lightupcoffee.com/blogs/magazine/kelloo-danche-ethiopia?_pos=1&_sid=329533390&_ss=r,Kelloo Danche,桃やアプリコットの甘さを伴う果実感や、 マーマレードの印象が艶やかな口当たりで 広がる。余韻にはレモンティーの甘さと白 い花の香りが長く続いていく。,Ethiopia,"Gedeo, Gedeb",400 Smallholders,,Danche Ws,"2,000-2,300m",Washed,Heirloom,9.5725,43.18139
2025,12,https://lightupcoffee.com/blogs/magazine/lalia-costarica?srsltid=AfmBOopEBoj-VPW-RB4UInaYnisYJkZHXw7AzVWdY40XRfX2yvTZHyhD,La Lia,"ティーブレイクを思い浮かべる様なコーヒー。

赤りんごやアプリコットを練り込んだクッキー を思わせる果実味と甘さが穏やかで、紅茶の 余韻が甘さと共に長く伸びる。",Costa Rica,"San Lorenzo, Leon Cortes, Tarrazu",Luis Alberto Monge,Pie San 2000,,"2,000 m",White Honey,Catuai,9.64072,-84.03104
2025,9,https://lightupcoffee.com/blogs/magazine/lalia-costarica?srsltid=AfmBOopEBoj-VPW-RB4UInaYnisYJkZHXw7AzVWdY40XRfX2yvTZHyhD,La Lia,"ティーブレイクを思い浮かべる様なコーヒー。

赤りんごやアプリコットを練り込んだクッキー を思わせる果実味と甘さが穏やかで、紅茶の 余韻が甘さと共に長く伸びる。",Costa Rica,"San Lorenzo, Leon Cortes, Tarrazu",Luis Alberto Monge,Pie San 2000,,"2,000 m",White Honey,Catuai,9.64072,-84.03104
2025,3,https://lightupcoffee.com/blogs/magazine/lasdelicias-nicaragua?srsltid=AfmBOoqjx7Wgpl-JepTgaoKBw8t9gZWmLIIxw5vLu1TvHkLyU4Rmzt_H,Las Delicias,赤りんごの果実感やミルクチョコレートの 甘さがクリーミーな口当たりと共に膨らん でいく。余韻にはカカオを思わせる香りが 優しく続く。,Nicaragua,"Lipululu, Jinotega",Eleane Mierisch,Las Delicias,,"1,260-1,450 m",Natural,Javanica,13.09103,-86.00234
2025,5,https://lightupcoffee.com/blogs/magazine/acopaca,Acopaca,"焼きりんごやドライアプリコットの 果実感に、蜂蜜の甘さがふくよか。

マカダミアナッツを思わせる香りが 口の中に膨らみ余韻まで長く続く。",El Salvador,Chalatenango,Acopaca Cooperative,,,"1,350 1,600 m",Washed,Pacas,14.04138,-88.93951
2025,11,https://lightupcoffee.com/blogs/magazine/las-trojas-guatemala?_pos=1&_sid=4bbc700de&_ss=r,Las Trojas,赤りんごの果実感をタルトの優しい甘さが支 え、ナッツペーストの印象がクリーミーな質 感で膨らむ。余韻にはヌガーを思わせる香 りがじんわりと続く。,Guatemala,Huehuetenango,Ever Mendoza,Las Trojas,,"1,700-1,800m",Washed,Bourbon,15.32097,-91.47001
2025,2,https://lightupcoffee.com/blogs/magazine/las-trojas-guatemala?_pos=1&_sid=4bbc700de&_ss=r,Las Trojas,赤りんごの果実感をタルトの優しい甘さが支 え、ナッツペーストの印象がクリーミーな質 感で膨らむ。余韻にはヌガーを思わせる香 りがじんわりと続く。,Guatemala,Huehuetenango,Ever Mendoza,Las Trojas,,"1,700-1,800m",Washed,Bourbon,15.32097,-91.47001
