country,year,award_category,rank_no,score,process,total_value,weight_kg,acidity_str_agg,aroma_flavor_str_agg,other_str_agg,overall_str_agg,characteristics_str_agg
nicaragua,2022,coe,23,87.12,Washed,2268,146.963808,"bright,citric acid,citrus,pine,red currant,structured","brown sugar,plum,complex,peach,red apple,apricot,banana,black tea,caramel,cocoa,dark berry,essential oil,herbal,honey,kiwi,lemon,lemon,lime,milk chocolate,prune,roasted almond,savory,sweet,sugary,sweet herb,tangerine","balanced,brown sugar,chestnut,red currant,sweet","balanced,brown sugar,chestnut,red currant,sweet","balanced,brown sugar,chestnut,red currant,sweet"
nicaragua,2022,coe,10,87.94,Natural,3073,199.126888,"citrus fruit,bright,citric acid,crisp,lemon,red currant","blueberry,brown sugar,dark chocolate,floral,mango,orange,plum,apricot,bergamot,black cherry,black green,blackberry,clover,grape,grapefruit,lime,maraschino cherry,marshmallow,molasses,pecan,pineapple,pluot,raspberry,strawberry,tangerine,tropical fruit","oat,strawberry,sweet finish,candy,hazelnut","oat,strawberry,sweet finish,candy,hazelnut","oat,strawberry,sweet finish,candy,hazelnut"
nicaragua,2022,coe,2,89.65,Natural,3416,193.683784,"citric acid,citrus fruit,bright,crisp,juicy,kiwi,lime,malic acid,plum,tart,tartaric,tropical fruit,white grape","black cherry,mandarin orange,raspberry,brown sugar,cherry,floral,grape,mango,pineapple,plum,red currant,red wine,banana,black currant,blackberry,blueberry,dried fruit,elderflower,juicy,kiwi,orange blossom,papaya,passion fruit,pine,savory,strawberry,sweet,vanilla,winey","almond,black cherry,chamomile,chrysanthemum,floral,overall sweet,sweet aromatics,tropical fruit","almond,black cherry,chamomile,chrysanthemum,floral,overall sweet,sweet aromatics,tropical fruit","almond,black cherry,chamomile,chrysanthemum,floral,overall sweet,sweet aromatics,tropical fruit"
nicaragua,2022,coe,24,87.12,Honey,3571.3,228.156776,"bright,lemon,bright acid,citric acid,malic acid,plum,tartaric","brown sugar,orange,tangerine,apricot,blackberry,caramel,chocolate,cocoa powder,complex,dark chocolate,grapefruit,green tea,hazelnut,honey,lemon tart,milk chocolate,mint,pecan,raisin,red apple,rhum,roasted hazelnut,stone fruit,strawberry,sweet,tart","chocolate,coconut,honey,milky,tartaric,vanilla,balanced,floral","chocolate,coconut,honey,milky,tartaric,vanilla,balanced,floral","chocolate,coconut,honey,milky,tartaric,vanilla,balanced,floral"
nicaragua,2022,coe,11,87.76,Washed,9074,791.51804,"malic acid,plum,bright,citric,citric acid,citrus,crisp,lactic,lemon,lemon,lime,orange blossom","citrus,berry,caramel,floral,peach,bittersweet chocolate,cherry,cinnamon,dark chocolate,green tea,hazelnut,honey,jack fruit,lemon,lime,nougat,passion fruit,pineapple,plum,prune,raspberry,red currant,stone fruit,sweet,vanilla,walnut","very clean,citrus fruit,complex,creamy,prune,tart","very clean,citrus fruit,complex,creamy,prune,tart","very clean,citrus fruit,complex,creamy,prune,tart"
nicaragua,2022,coe,15,87.53,Semi-Washed,4035.2,351.987392,"citric acid,lemon,malic acid,bright,citric,citrus fruit,molasses,structure","brown sugar,green apple,hazelnut,orange,sweet,almond,apricot,brown spice,citrus,citrus fruit,complex,floral,fresh juice,green tea,herbal,honey,lemon,lemon,lime,lime,lively acidity,melon,nutty,peach,pear,pineapple,pistachio,red apple,roasted almond,sweet,bright,sweet herb,vanilla,watermelon","cocoa,cream,lemon,overall sweet,pipe tobacco,sweet aromatics","cocoa,cream,lemon,overall sweet,pipe tobacco,sweet aromatics","cocoa,cream,lemon,overall sweet,pipe tobacco,sweet aromatics"
nicaragua,2022,coe,20,87.26,Natural,3087.9,191.869416,"bright,citric acid,crisp,lemon,lime,plum,sparkling","brown sugar,melon,orange,raspberry,tangerine,casis,dried dates,golden raisin,green grape,green tea,guava,honeydew,juice like,lemon,litchi,mandarin orange,marshmallow,milk chocolate,peach,red currant,red grape,sweet,tea,vanilla,yellow apple","delicate,crisp,lemon,lime,plum","delicate,crisp,lemon,lime,plum","delicate,crisp,lemon,lime,plum"
nicaragua,2022,coe,7,88.76,Honey,3701.7,207.291544,"lemon,lime,blackberry,bright,citric acid,citrus,citrus fruit,juicy,lemon,lively,malic acid,orange,peach,red currant,structure","brown sugar,floral,molasses,orange,peach,plum,apple,apricot,bergamot,berries,black currant,black pepper,black tea,brown spice,caramel,chocolate,citrus,cocoa,concord grape,cranberry,dark chocolate,grape,grapefruit,green apple,guava,lemon,mandarin orange,mandarin,maple syrup,nectarine,nutty,pineapple,pluot,raspberry,red apple,red currant,rhum,sweet,tart","complex,concord grape,complex and lively with,lingering aftertaste,overall sweet,raspberry,structured,sweet aromatics,tea rose","complex,concord grape,complex and lively with,lingering aftertaste,overall sweet,raspberry,structured,sweet aromatics,tea rose","complex,concord grape,complex and lively with,lingering aftertaste,overall sweet,raspberry,structured,sweet aromatics,tea rose"
nicaragua,2022,coe,18,87.35,Natural,2560.6,196.858928,"citric acid,citrus fruit,juicy,plum,sharp,structure,sweet","citrus fruit,dark chocolate,peach,berry,bitter,brown sugar,cherries,cherry,cocoa,grape,grapefruit,green,honey,kiwi,lemon,lime,lime,mandarin orange,nectarine,nutty,overall sweet,peanuts,pineapple,raisin,sweet,vanilla","bittersweet chocolate,sweet,white grape,cinnamon","bittersweet chocolate,sweet,white grape,cinnamon","bittersweet chocolate,sweet,white grape,cinnamon"
costa-rica,2009,coe,6,88.53,,18057.6,,"tart,elegant,mellow,fine lemon","fruity,sweet,nuts,spices,perfume fragrance,black currant,lemon,milk chocolate","rich body,finished with,lemon zest,long aftertaste","rich body,finished with,lemon zest,long aftertaste","rich body,finished with,lemon zest,long aftertaste"
